rows columns xmin xmax ymin ymax searches_density num_searches time min x y
100 100 -10.000000 10.000000 -10.000000 10.000000 0.300000 3000 12 -44841 -1.600000 6.200000
100 100 -10.000000 10.000000 -10.000000 10.000000 0.300000 3000 2 -44841 -1.600000 6.200000
100 100 -10.000000 10.000000 -10.000000 10.000000 0.300000 3000 2 -44841 -1.600000 6.200000
100 100 -10.000000 10.000000 -10.000000 10.000000 0.500000 5000 3 -44841 -1.600000 6.200000
100 100 -10.000000 10.000000 -10.000000 10.000000 0.500000 5000 3 -44841 -1.600000 6.200000
100 100 -10.000000 10.000000 -10.000000 10.000000 0.500000 5000 2 -44841 -1.600000 6.200000
100 100 -10.000000 10.000000 -10.000000 10.000000 0.700000 7000 2 -44841 -1.600000 6.200000
100 100 -10.000000 10.000000 -10.000000 10.000000 0.700000 7000 2 -44841 -1.600000 6.200000
100 100 -10.000000 10.000000 -10.000000 10.000000 0.700000 7000 2 -44841 -1.600000 6.200000
200 200 -10.000000 10.000000 -10.000000 10.000000 0.300000 12000 11 -60852 4.700000 6.300000
200 200 -10.000000 10.000000 -10.000000 10.000000 0.300000 12000 9 -60852 4.700000 6.300000
200 200 -10.000000 10.000000 -10.000000 10.000000 0.300000 12000 5 -60852 4.700000 6.300000
200 200 -10.000000 10.000000 -10.000000 10.000000 0.500000 20000 18 -60852 4.700000 6.300000
200 200 -10.000000 10.000000 -10.000000 10.000000 0.500000 20000 7 -60852 4.700000 6.300000
200 200 -10.000000 10.000000 -10.000000 10.000000 0.500000 20000 9 -60852 4.700000 6.300000
200 200 -10.000000 10.000000 -10.000000 10.000000 0.700000 28000 8 -60852 4.700000 6.300000
200 200 -10.000000 10.000000 -10.000000 10.000000 0.700000 28000 7 -60852 4.700000 6.300000
200 200 -10.000000 10.000000 -10.000000 10.000000 0.700000 28000 6 -60852 4.700000 6.300000
400 400 -10.000000 10.000000 -10.000000 10.000000 0.300000 48000 14 -60854 -7.850000 6.300000
400 400 -10.000000 10.000000 -10.000000 10.000000 0.300000 48000 16 -60854 -7.850000 6.300000
400 400 -10.000000 10.000000 -10.000000 10.000000 0.300000 48000 16 -60854 -7.850000 6.300000
400 400 -10.000000 10.000000 -10.000000 10.000000 0.500000 80000 17 -60854 -7.850000 6.300000
400 400 -10.000000 10.000000 -10.000000 10.000000 0.500000 80000 34 -60854 -7.850000 6.300000
400 400 -10.000000 10.000000 -10.000000 10.000000 0.500000 80000 18 -60854 -7.850000 6.300000
400 400 -10.000000 10.000000 -10.000000 10.000000 0.700000 112000 19 -60854 -7.850000 6.300000
400 400 -10.000000 10.000000 -10.000000 10.000000 0.700000 112000 20 -60854 -7.850000 6.300000
400 400 -10.000000 10.000000 -10.000000 10.000000 0.700000 112000 18 -60854 -7.850000 6.300000
800 800 -10.000000 10.000000 -10.000000 10.000000 0.300000 192000 62 -68053 -1.575000 6.275000
800 800 -10.000000 10.000000 -10.000000 10.000000 0.300000 192000 73 -68053 -7.850000 6.275000
800 800 -10.000000 10.000000 -10.000000 10.000000 0.300000 192000 62 -68053 -1.575000 6.275000
800 800 -10.000000 10.000000 -10.000000 10.000000 0.500000 320000 56 -68053 -7.850000 6.275000
800 800 -10.000000 10.000000 -10.000000 10.000000 0.500000 320000 58 -68053 -1.575000 6.275000
800 800 -10.000000 10.000000 -10.000000 10.000000 0.500000 320000 55 -68053 -7.850000 6.275000
800 800 -10.000000 10.000000 -10.000000 10.000000 0.700000 448000 53 -68053 -7.850000 6.275000
800 800 -10.000000 10.000000 -10.000000 10.000000 0.700000 448000 56 -68053 -1.575000 6.275000
800 800 -10.000000 10.000000 -10.000000 10.000000 0.700000 448000 49 -68053 -1.575000 6.275000
1200 1200 -10.000000 10.000000 -10.000000 10.000000 0.300000 432000 123 -108181 4.716667 6.283333
1200 1200 -10.000000 10.000000 -10.000000 10.000000 0.300000 432000 110 -108181 -7.850000 6.283333
1200 1200 -10.000000 10.000000 -10.000000 10.000000 0.300000 432000 90 -108181 -1.566667 6.283333
1200 1200 -10.000000 10.000000 -10.000000 10.000000 0.500000 720000 128 -108181 -1.566667 6.283333
1200 1200 -10.000000 10.000000 -10.000000 10.000000 0.500000 720000 125 -108181 -1.566667 6.283333
1200 1200 -10.000000 10.000000 -10.000000 10.000000 0.500000 720000 108 -108181 -7.850000 6.283333
1200 1200 -10.000000 10.000000 -10.000000 10.000000 0.700000 1007999 126 -108181 -7.850000 6.283333
1200 1200 -10.000000 10.000000 -10.000000 10.000000 0.700000 1007999 126 -108181 -1.566667 6.283333
1200 1200 -10.000000 10.000000 -10.000000 10.000000 0.700000 1007999 142 -108181 -7.850000 6.283333
1600 1600 -10.000000 10.000000 -10.000000 10.000000 0.300000 768000 269 -74457 -7.850000 6.287500
1600 1600 -10.000000 10.000000 -10.000000 10.000000 0.300000 768000 263 -74457 -1.575000 6.287500
1600 1600 -10.000000 10.000000 -10.000000 10.000000 0.300000 768000 336 -74457 -1.575000 6.287500
1600 1600 -10.000000 10.000000 -10.000000 10.000000 0.500000 1280000 265 -74457 4.712500 6.287500
1600 1600 -10.000000 10.000000 -10.000000 10.000000 0.500000 1280000 225 -74457 -7.850000 6.287500
1600 1600 -10.000000 10.000000 -10.000000 10.000000 0.500000 1280000 302 -74457 -7.850000 6.287500
1600 1600 -10.000000 10.000000 -10.000000 10.000000 0.700000 1792000 257 -74457 4.712500 6.287500
1600 1600 -10.000000 10.000000 -10.000000 10.000000 0.700000 1792000 245 -74457 4.712500 6.287500
1600 1600 -10.000000 10.000000 -10.000000 10.000000 0.700000 1792000 264 -74457 -1.575000 6.287500
2000 2000 -10.000000 10.000000 -10.000000 10.000000 0.300000 1200000 461 -77492 -1.570000 6.280000
2000 2000 -10.000000 10.000000 -10.000000 10.000000 0.300000 1200000 358 -77492 -1.570000 6.280000
2000 2000 -10.000000 10.000000 -10.000000 10.000000 0.300000 1200000 412 -77492 -1.570000 6.280000
2000 2000 -10.000000 10.000000 -10.000000 10.000000 0.500000 2000000 406 -77492 -1.570000 6.280000
2000 2000 -10.000000 10.000000 -10.000000 10.000000 0.500000 2000000 400 -77492 -1.570000 6.280000
2000 2000 -10.000000 10.000000 -10.000000 10.000000 0.500000 2000000 405 -77492 -1.570000 6.280000
2000 2000 -10.000000 10.000000 -10.000000 10.000000 0.700000 2800000 382 -77492 -1.570000 6.280000
2000 2000 -10.000000 10.000000 -10.000000 10.000000 0.700000 2800000 337 -77492 -1.570000 6.280000
2000 2000 -10.000000 10.000000 -10.000000 10.000000 0.700000 2800000 325 -77492 -1.570000 6.280000
4000 4000 -10.000000 10.000000 -10.000000 10.000000 0.300000 4800000 1259 -83118 -7.860000 6.285000
4000 4000 -10.000000 10.000000 -10.000000 10.000000 0.300000 4800000 1644 -83118 4.715000 6.285000
4000 4000 -10.000000 10.000000 -10.000000 10.000000 0.300000 4800000 1381 -83118 -7.850000 6.285000
4000 4000 -10.000000 10.000000 -10.000000 10.000000 0.500000 8000000 1500 -83118 -1.570000 6.285000
4000 4000 -10.000000 10.000000 -10.000000 10.000000 0.500000 8000000 1572 -83118 -7.850000 6.285000
4000 4000 -10.000000 10.000000 -10.000000 10.000000 0.500000 8000000 1569 -83118 -1.575000 6.285000
4000 4000 -10.000000 10.000000 -10.000000 10.000000 0.700000 11200000 1628 -83118 -7.855000 6.285000
4000 4000 -10.000000 10.000000 -10.000000 10.000000 0.700000 11200000 1457 -83118 -1.575000 6.285000
4000 4000 -10.000000 10.000000 -10.000000 10.000000 0.700000 11200000 1412 -83118 -7.850000 6.285000
