rows columns xmin xmax ymin ymax searches_density num_searches time min x y
100 100 -10.000000 10.000000 -10.000000 10.000000 0.300000 3000 4 -44841 -1.600000 6.200000
100 100 -10.000000 10.000000 -10.000000 10.000000 0.300000 3000 1 -44841 -1.600000 6.200000
100 100 -10.000000 10.000000 -10.000000 10.000000 0.300000 3000 0 -44841 -1.600000 6.200000
100 100 -10.000000 10.000000 -10.000000 10.000000 0.500000 5000 2 -44841 -1.600000 6.200000
100 100 -10.000000 10.000000 -10.000000 10.000000 0.500000 5000 1 -44841 -1.600000 6.200000
100 100 -10.000000 10.000000 -10.000000 10.000000 0.500000 5000 1 -44841 -1.600000 6.200000
100 100 -10.000000 10.000000 -10.000000 10.000000 0.700000 7000 2 -44841 -1.600000 6.200000
100 100 -10.000000 10.000000 -10.000000 10.000000 0.700000 7000 2 -44841 -1.600000 6.200000
100 100 -10.000000 10.000000 -10.000000 10.000000 0.700000 7000 2 -44841 -1.600000 6.200000
200 200 -10.000000 10.000000 -10.000000 10.000000 0.300000 12000 4 -60852 4.700000 6.300000
200 200 -10.000000 10.000000 -10.000000 10.000000 0.300000 12000 5 -60852 4.700000 6.300000
200 200 -10.000000 10.000000 -10.000000 10.000000 0.300000 12000 4 -60852 4.700000 6.300000
200 200 -10.000000 10.000000 -10.000000 10.000000 0.500000 20000 4 -60852 4.700000 6.300000
200 200 -10.000000 10.000000 -10.000000 10.000000 0.500000 20000 5 -60852 4.700000 6.300000
200 200 -10.000000 10.000000 -10.000000 10.000000 0.500000 20000 3 -60852 4.700000 6.300000
200 200 -10.000000 10.000000 -10.000000 10.000000 0.700000 28000 5 -60852 4.700000 6.300000
200 200 -10.000000 10.000000 -10.000000 10.000000 0.700000 28000 4 -60852 4.700000 6.300000
200 200 -10.000000 10.000000 -10.000000 10.000000 0.700000 28000 6 -60852 4.700000 6.300000
400 400 -10.000000 10.000000 -10.000000 10.000000 0.300000 48000 22 -60854 -7.850000 6.300000
400 400 -10.000000 10.000000 -10.000000 10.000000 0.300000 48000 14 -60854 -7.850000 6.300000
400 400 -10.000000 10.000000 -10.000000 10.000000 0.300000 48000 14 -60854 -7.850000 6.300000
400 400 -10.000000 10.000000 -10.000000 10.000000 0.500000 80000 14 -60854 -7.850000 6.300000
400 400 -10.000000 10.000000 -10.000000 10.000000 0.500000 80000 20 -60854 -7.850000 6.300000
400 400 -10.000000 10.000000 -10.000000 10.000000 0.500000 80000 19 -60854 -7.850000 6.300000
400 400 -10.000000 10.000000 -10.000000 10.000000 0.700000 112000 14 -60854 -7.850000 6.300000
400 400 -10.000000 10.000000 -10.000000 10.000000 0.700000 112000 15 -60854 -7.850000 6.300000
400 400 -10.000000 10.000000 -10.000000 10.000000 0.700000 112000 15 -60854 -7.850000 6.300000
800 800 -10.000000 10.000000 -10.000000 10.000000 0.300000 192000 79 -68053 -1.575000 6.275000
800 800 -10.000000 10.000000 -10.000000 10.000000 0.300000 192000 65 -68053 -1.575000 6.275000
800 800 -10.000000 10.000000 -10.000000 10.000000 0.300000 192000 66 -68053 -1.575000 6.275000
